,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1879263,ljJxZ,1b3r1k/6p1/p4qpp/1p6/6Q1/P1P4P/1P4P1/3RRr1K w - - 8 38,e1f1 f6f1 d1f1 f8f1,574,109,54,24,endgame mate mateIn2 short,https://lichess.org/0CRDhxj5#75
122643,37FBV,2r2k2/5pp1/p3p3/1p1pP2R/8/1RP3r1/P1PK4/8 b - - 2 33,g3g4 h5h8 f8e7 h8c8,575,127,7,24,advantage endgame rookEndgame short skewer,https://lichess.org/XupwN0Mr/black#66
1795374,jbL1m,8/1b2p3/ppq1n1k1/4p3/1P2P2p/P2B1Q2/2P3P1/4R2K w - - 2 34,f3f7 g6f7,575,132,0,51,crushing endgame hangingPiece oneMove,https://lichess.org/wQm8Cmaa#67
1612342,ex1Qf,1k1Rr3/p1p5/Bp3Q2/n1p1P3/4qPP1/K1P5/PP6/8 b - - 7 37,e8d8 f6d8,575,110,33,84,endgame mate mateIn1 oneMove,https://lichess.org/8fThGg4Q/black#74
825111,KwY59,8/3r4/1p2k3/1P2b3/8/7P/P2Q1PP1/6K1 w - - 5 45,d2e3 d7d1 e3e1 d1e1,576,104,36,81,endgame mate mateIn2 short,https://lichess.org/wrWGv8A2#89
1584401,eErs4,r4rk1/pp1b3p/2nqp1B1/3p2Q1/2pP4/2P5/PP1N1PPP/R3R1K1 b - - 0 18,h7g6 g5g6,576,103,45,82,crushing kingsideAttack middlegame oneMove,https://lichess.org/4aMqDr0m/black#36
1761368,ijhhF,3q2k1/p4pp1/4p2p/2p5/4Q3/8/PPP2PPP/6K1 w - - 0 20,e4e3 d8d1 e3e1 d1e1,577,130,-25,49,endgame mate mateIn2 queenEndgame short,https://lichess.org/MIzesRWc#39
1637157,faIzL,3q2k1/5pbp/bp2p3/8/3r3N/4QBP1/4PP1P/1R4K1 w - - 8 32,h4g2 d4d1 b1d1 d8d1 g2e1 d1e1,577,97,47,84,crushing long middlegame,https://lichess.org/XvTy491O#63
420068,AenkT,3r1rk1/pp3ppp/3q1b2/1P6/8/3B3P/PP3PP1/R2Q1RK1 w - - 0 18,d3h7 g8h7 d1d6 d8d6,578,102,25,43,advantage hangingPiece middlegame short,https://lichess.org/m5PAyH7o#35
798539,KGPvC,r3r1k1/pp3ppp/2pp4/6QN/8/P7/6PP/R3q2K w - - 4 22,a1e1 e8e1,578,112,25,50,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/hjpJJpol#43
